Country,PIB_total,"la concentration moyenne annuelle en PM2,5",PIB_par_habitant,Depenses_en_education_PIB,Esperance_de_vie,Depenses_en_sante_par_habitant,Taux_mortalite_infantile,Acces_electricite,Acces_eau_potable,Taux_pauvrete,Taux_chomage,Acces_internet,Croissance_economique,Croissance_PIB_par_habitant,Ratio_dette_PIB,Investissements_directs_etrangers,Emplois_agriculture,Acces_electricite_categorise,Niveau_de_developpement,Acces_eau_potable_categorise,Taux_pauvrete_categorise
Afghanistan,19955929052.1496,46.0870936659706,510.787063366811,4.887833028715503,62.575,80.28805542,61.6,97.7,76.72225540254,2.0142857142857142,11.71,18.4,-2.35110067203466,-5.38251464221077,74.4000180705291,0.0649939571808755,45.9834078243144,Élevé,Faible,Faible,Faible
Armenia,12641698583.2152,30.5796334750125,4268.68093304583,2.70555996894836,72.173,552.0,11.3,100.0,99.9415163996124,0.4,12.18,76.5077,-7.19999999920631,-7.16866452731679,63.4012140067668,0.463408850763634,52.3839089528943,Élevé,Intermédiaire,Élevé,Faible
Azerbaijan,42693000000.0,21.7269999756599,4229.91064904503,4.33204984664917,66.868,243.0,19.7,100.0,96.3620821780168,2.0142857142857142,7.24,84.6,-4.30000010230737,-4.95270173869491,22.1899994626478,1.18790387182911,36.312788977015,Élevé,Intermédiaire,Élevé,Faible
Bahrain,35837632978.7234,58.4950629834781,24342.8444554718,2.55237460136414,79.174,1105.3248291,6.9,100.0,99.9198990209829,2.0142857142857142,1.767,99.671,-5.9113629524152,-5.17307400932464,111.598089477141,2.84973228101032,0.935135501946129,Élevé,Élevé,Élevé,Faible
Bangladesh,373979442362.193,42.3813762359965,2248.85078828233,1.76528060436249,71.968,50.66413116,31.0,96.2,97.945676020447,2.0142857142857142,5.828,36.1091,3.44801755122445,2.58647816564581,74.4000180705291,0.407859894856918,38.1232033837351,Élevé,Faible,Élevé,Faible
Bhutan,2457604334.15915,23.9456576369223,3191.66907031782,5.54341268539429,71.609,133.70314026,25.4,100.0,98.9817176346163,2.0142857142857142,5.03,76.8508,-10.2183974073689,-10.8226112247093,111.007884088239,-0.113401528935903,49.9152566868386,Élevé,Intermédiaire,Élevé,Faible
Brunei Darussalam,12005799664.2691,7.59726503432135,26834.3592463839,5.003061280384051,74.795,650.47821045,9.8,100.0,99.9000472814433,2.0142857142857142,7.409,95.0503,1.13357340605403,0.065735387685379,74.4000180705291,4.71057564880466,1.33677088611368,Élevé,Élevé,Élevé,Faible
Cambodia,34818073901.4851,24.1436022803452,2081.73914242939,3.0023500919342,70.416,112.21422577,25.5,86.4,76.2531074222297,2.0142857142857142,0.172,53.6508,-3.55572193406549,-4.96368199399319,74.4000180705291,10.410239809326,36.8999764068932,Élevé,Faible,Faible,Faible
China,14687744162801.0,34.8105237153218,10408.7195541075,4.2333812713623,78.077,583.43218994,7.5,100.0,95.8903136606767,0.0,5.0,70.0528,2.23863835634639,1.99555804192106,74.4000180705291,1.72317554862906,23.5998587307763,Élevé,Élevé,Élevé,Faible
Cyprus,25555093854.2968,13.508701890821,28649.015625,5.63694000244141,81.391,2362.0,3.3,100.0,99.7651721581168,0.0,7.755,90.8019,-3.22063433575047,-4.53190495516537,74.4000180705291,-101.833102140082,2.73172594732822,Élevé,Élevé,Élevé,Faible
Georgia,16010869215.68,17.0438421058507,4300.85701291207,3.8498592376709,72.765,355.0,9.6,100.0,94.672099902079,5.8,11.73,72.5316,-6.2904717853839,-6.35478715206467,65.193315792645,3.39837673139654,41.054733805906,Élevé,Intermédiaire,Élevé,Faible
India,2674851578587.27,48.3948115195574,1907.04251637669,4.04014158248901,70.15,64.0,32.4,96.5,92.1456047702605,15.5,7.859,43.4054,-5.77772470686801,-6.69047102833747,74.4000180705291,2.40620322673636,44.6754943536434,Élevé,Faible,Élevé,Modéré
Indonesia,1059054842711.55,17.8814994983985,3853.70288778903,1.01593220233917,68.808,133.25634766,22.8,97.0,92.5873956949722,2.8,4.255,53.7265,-2.06551182934165,-2.89423403981894,42.9017966486126,1.81058402024892,29.5715827857622,Élevé,Intermédiaire,Élevé,Faible
"Iran, Islamic Rep.",262186179355.944,32.2873733599003,2988.78122414716,3.20495009422302,74.832,338.24972534,12.9,100.0,97.4494755938991,0.8,9.687,75.5699,3.33028845926594,2.5389746580567,74.4000180705291,0.0298986240207489,16.7277472123723,Élevé,Faible,Élevé,Faible
Iraq,180898797516.874,38.1750699787954,4295.18945121228,4.868469235345113,69.123,245.48046875,25.1,100.0,98.3599065549598,2.0142857142857142,15.776,53.6778,-12.0367930931001,-13.967532268629,74.4000180705291,-1.58049696252586,8.70463913168945,Élevé,Intermédiaire,Élevé,Faible
Israel,411728563086.632,18.5982756348314,44679.7715799755,6.47881984710693,82.6487804878049,3637.0,3.5,100.0,100.0,0.4,4.169,90.1273,-1.46460564253812,-3.18721874830878,74.4000180705291,5.09284559778962,0.914951008053905,Élevé,Élevé,Élevé,Faible
Japan,5055587093501.59,12.835201662985,40040.7655055923,3.30628991127014,84.56,4436.0,2.4,100.0,99.0995295494953,2.0142857142857142,2.809,90.2195,-4.14711889947692,-3.86470966963243,215.755540579043,1.23793178201869,3.14789630686643,Élevé,Élevé,Élevé,Faible
Jordan,43700383098.5916,28.7737639174179,4022.0401356135,4.587645359361991,75.184,284.53439331,15.1,99.9,98.9605142327008,2.0142857142857142,19.213,78.4178,-1.10275188309046,-2.86253982856009,75.9660726859906,1.73975978294192,3.30479600717421,Élevé,Intermédiaire,Élevé,Faible
Kazakhstan,171082365861.423,20.0278724259165,8781.50797787648,4.44620370864868,71.37,338.0,10.1,100.0,95.434966101715,0.0,4.89,85.9426,-2.49999999628,-3.86406094514987,23.7157605024381,4.21199990309163,13.4627577966953,Élevé,Intermédiaire,Élevé,Faible
"Korea, Rep.",1644312831906.17,25.9439899531653,31721.2989141857,4.8017201423645,83.4268292682927,2648.22412109,3.0,100.0,99.8476930598844,0.0,3.931,96.5051,-0.709415359397681,-0.846212237799236,46.4315966423379,0.533043337613518,5.37120714777046,Élevé,Élevé,Élevé,Faible
Kuwait,111045470461.207,53.7151434413218,25236.0755520534,6.24513053894043,76.92,1542.32263184,8.8,100.0,100.0,2.0142857142857142,3.535,99.1059,-4.81742860622226,-3.90786290383718,74.4000180705291,-0.502546857831841,2.00447832915157,Élevé,Élevé,Élevé,Faible
Kyrgyz Republic,8270468614.24051,24.3817252281764,1229.51775742135,6.61971664428711,71.8,64.0,17.8,99.9,90.7146537383369,1.3,4.63,72.0,-7.14897757727955,-9.03157037888498,67.9562222931595,-4.85484703138399,25.1092303379632,Élevé,Faible,Élevé,Faible
Lao PDR,18981805250.2424,22.3176670505669,2583.77730696131,1.91597270965576,68.497,52.15844727,43.3,99.3,85.2197393366705,2.0142857142857142,2.314,54.0,0.503031829018681,-0.986715601107164,74.4000180705291,5.09807193491087,66.3677276582826,Élevé,Faible,Modéré,Faible
Lebanon,31712128253.7961,19.2310172881236,5561.19166950397,1.66996812820435,77.804,522.42010498,15.5,100.0,92.6,2.0142857142857142,13.235,87.8607,-21.3998996914321,-20.1290983815185,74.4000180705291,5.06712986613403,3.65511327967499,Élevé,Intermédiaire,Élevé,Faible
Malaysia,337456163961.211,16.1938532237922,9957.52626697613,4.51888704299927,75.938,414.96350098,8.0,100.0,97.0999105708665,2.0142857142857142,4.54,89.555,-5.45684658426701,-6.7093351308522,62.0067215086738,1.20275464255821,10.4662697193919,Élevé,Intermédiaire,Élevé,Faible
Maldives,3712604583.36665,12.0123911668511,7393.8886543933,5.84760808944702,79.875,826.0,6.4,100.0,99.5444450641446,2.0142857142857142,5.404,79.0978,-32.9088287752921,-34.8311671109222,74.4000180705291,11.8706880719155,8.0434763460844,Élevé,Intermédiaire,Élevé,Faible
